English lemma,,I,Ger,Ita,Dut,Spa,Fin,[comments],[comments]
,abstract ${name} = Attempto **,incomplete concrete GeographyI of Geography = AttemptoAce ** open Oper in,"concrete ${name}${lang} of ${name} = Attempto${lang} ** open Syntax${lang}, Paradigms${lang}, Oper${lang} in","concrete ${name}${lang} of ${name} = Attempto${lang} ** open Syntax${lang}, Paradigms${lang}, Oper${lang} in","concrete ${name}${lang} of ${name} = Attempto${lang} ** open Syntax${lang}, Paradigms${lang}, Oper${lang} in","concrete ${name}${lang} of ${name} = Attempto${lang} ** open Syntax${lang}, Paradigms${lang}, Oper${lang}, (I=Irreg${lang}) in","concrete ${name}${lang} of ${name} = Attempto${lang} ** open Syntax${lang}, Paradigms${lang}, Oper${lang} in",,
larger than,A2,"aceA2 (mkA ""larger"") ""than""","mkA2 (mkA ""größer"") (mkPrep ""als"" nominative)",,,"mkA2 (mkA ""mayor"") (mkPrep ""que"")",,,
located in,A2,"aceA2 (mkA ""located"") (mkPrep ""in"")","mkA2 (mkA ""platziert"") (mkPrep ""in"" dative)",,,"mkA2 (mkA ""situado"") (mkPrep ""en"")",,"[Tobias: not a very good German translation, but the best I could come up with in the Adjective category]",
longer than,A2,"aceA2 (mkA ""longer"") ""than""","mkA2 (mkA ""länger"") (mkPrep ""als"" nominative)",,,"mkA2 (mkA ""más largo"") (mkPrep ""que"")",,,
smaller than,A2,"aceA2 (mkA ""smaller"") ""than""","mkA2 (mkA ""kleiner"") (mkPrep ""als"" nominative)",,,"mkA2 (mkA ""menor"") (mkPrep ""que"")",,,
archipelago,CN,"""archipelago"" ""archipelagos""",Inselgruppe,,,archipiélago,saaristo,,
body of water,CN,"""body of water"" ""bodies of water""","aceN das ""Gewässer""",,,"""cuerpo de agua"" ""cuerpos de agua"" masculine",,"[upper type for rivers, lakes, etc.]",
capital,CN,,"aceN die ""Hauptstadt"" ""Hauptstädte""",capitale,hoofdstad,"""capital"" feminine",pääkaupunki,,
central region,CN,,"aceN die ""Zentralregion""",,,"""región central"" ""regiones centrales"" feminine",keskusalue,,
central zone,CN,,"aceN die ""Zentralzone""",,,"""zona central"" ""zonas centrales"" feminine",keskusvyöhyke,,
city,CN,,"aceN die ""Stadt"" ""Städte""",città,stad,"""ciudad"" feminine",kaupunki,,
coast,CN,,"aceN die ""Küste""",,,costa,rannikko,,
continent,CN,,"aceN der ""Kontinent""",,,continente,maanosa,,
country,CN,,"aceN das ""Land"" ""Länder""",paese,land,país,maa,,
EFTA state,CN,,"aceN der ""EFTA-Staat""",,,"""país de la EALC"" ""países de la EALC"" masculine",,,
enclave,CN,"""enclave"" ""enclaves""","aceN die ""Enklave""",,,enclave,enklaavi,,
exclave,CN,"""exclave"" ""exclaves""","aceN die ""Exklave""",,,enclave,eksklaavi,,
Finno-Ugric language,CN,,"aceN die ""Finno-ugrische Sprache""",,,"""lengua fino-úgrica"" ""lenguas fino-úgricas"" feminine",suomalais-ugrilainen kieli,,
fjord,CN,,"aceN der ""Fjord""",,,fiordo,vuono,[Laura: I did not include names of any fjords though...],
Germanic language,CN,,"aceN die ""Germanische Sprache""",,,"""lengua germánica"" ""lenguas germánicas"" feminine",germaaninen kieli,,
glacier,CN,,"aceN der ""Gletscher""",,,glaciar,jäätikkö,[Laura: I did not include names of any glaciers though...],
gulf,CN,,"aceN der ""Meerbusen""",,,golfo,lahti,,
island,CN,,"aceN die ""Insel""",isola,eiland,isla,saari,,
lake,CN,,"aceN der ""See"" ""Seen""",,,lago,järvi,,
landlocked country,CN,"""landlocked country"" ""landlocked countries""","aceN das ""Binnenland""",,,"mkCN (mkN ""país interior"" ""países interiores"" masculine) | mkCN (mkN ""país sin salida al mar"" ""países sin salida al mar"" masculine)",sisämaavaltio,,
language,CN,,"aceN die ""Sprache""",lingua,taal,lengua,kieli,,
mediterranean sea,CN,"""mediterranean sea"" ""mediterranean seas""","aceN das ""Mittelmeer"" ""Mittelmeere""",,,"""mar mediterráneo"" ""mares mediterráneos"" masculine",sisämeri,[type of sea],
member,CN,,"aceN das ""Mitglied""",membro,lid,miembro,jäsen,,
microstate,CN,"""microstate"" ""microstates""","aceN der ""Zwergstaat""",,,microestado,kääpiövaltio,,
mountain,CN,,"aceN der ""Berg""",,,montaña,vuori,,
mountain range,CN,,"aceN die ""Bergkette""",,,"""cadena montañosa"" ""cadenas montañosas"" feminine",vuoristo,,
mountain region,CN,,"aceN das ""Berggebiet""",,,"""región montañosa"" ""regiones montañosas"" feminine",vuoristoalue,,
mouth,CN,,"aceN die ""Mündung""",,,desembocadura,suu,,
north-eastern region,CN,,"aceN die ""nordöstliche Region""",,,"""región nororiental"" ""regiones nororientales"" feminine",koillinen alue,,
north-eastern zone,CN,,"aceN die ""nordöstliche Zone""",,,"""zona nororiental"" ""zonas nororientales"" feminine",koillinen vyöhyke,,
north-western region,CN,,"aceN die ""nordwestliche Region""",,,"""región noroccidental"" ""regiones noroccidentales"" feminine",luoteinen alue,,
north-western zone,CN,,"aceN die ""nordwestliche Zone""",,,"""zona noroccidental"" ""zonas noroccidentales"" feminine",luoteinen vyöhyke,,
ocean,CN,,"aceN der ""Ozean""",,,océano,valtameri,,
official language,CN,official language,"aceN die ""offizielle Sprache""",lingua ufficiale,officiële taal,"""lengua oficial"" ""lenguas oficiales"" feminine",virallinen kieli,,
province,CN,,"aceN die ""Provinz""",,,provincia,maakunta,,
region,CN,,"aceN die ""Region""",,,"""región"" ""regiones"" feminine",alue,,
river,CN,,"aceN der ""Fluss"" ""Flüsse""",fiume,rivier,río,joki,,
Romance language,CN,,"aceN die ""Romanische Sprache""",,,"""lengua romance"" ""lenguas romance"" feminine",romaaninen kieli,,
sea,CN,,"aceN das ""Meer"" ""Meere""",mare,zee,mar,meri,,
Semitic language,CN,,"aceN die ""Semitische Sprache""",,,"""lengua semítica"" ""lenguas semíticas"" feminine",semiittiset kielet,,
Slavic language,CN,,"aceN die ""Slawische Sprache""",,,"""lengua eslava"" ""lenguas eslavas"" feminine",slaavilainen kieli,,
south-eastern region,CN,,"aceN die ""südöstliche Region""",,,"""región suroriental"" ""regiones surorientales"" feminine",kaakkoisalue,,
south-eastern zone,CN,,"aceN die ""südöstliche Zone""",,,"""zona suroriental"" ""zonas surorientales"" feminine",kaakkoisvyöhyke,,
south-western region,CN,,"aceN die ""südwestliche Region""",,,"""región suroccidental"" ""regiones suroccidentales"" feminine",lounainen alue,,
south-western zone,CN,,"aceN die ""südwestliche Zone""",,,"""zona suroccidental"" ""zonas suroccidentales"" feminine",lounainen vyöhyke,,
state,CN,,"aceN der ""Staat""",,,estado,valtio,,
tributary,CN,,"aceN der ""Nebenfluss"" ""Nebenflüsse""",,,afluente,sivujoki,,
valley,CN,,"aceN das ""Tal""",,,valle,laakso,,
volcano,CN,,"aceN der ""Vulkan""",,,"""volcán"" ""volcanes"" masculine",tulivuori,,
Aar,NP,"defsg ""Aar""","die ""Aare""",,,"el ""río Aar""",Aar-joki,,
Aargau,NP,,"der ""Aargau""",,,Argovia,Aargau,,
Abrantes,NP,,Abrantes,,,Abrantes,Abrantes,,
Achill island,NP,Achill,"die ""Achill-Insel""",,,"la ""isla de Achill""",Achill,,
Adriatic Sea,NP,"defsg ""Adriatic Sea""","die ""Adria""",,,"el ""mar Adriático""",Adrianmeri,,
Aegean Sea,NP,"defsg ""Aegean Sea""","das ""Ägäische Meer""",,,"el ""mar Egeo""",Egeanmeri,,
Åland islands,NP,"defpl ""Åland islands""","pl ""Åland Inseln""",,,"las ""islas de Åland""",Ahvenanmaa,,
Albania,NP,,Albanien,Albania,Albanië,Albania,Albania,,
Albanian language,NP,Albanian,Albanisch,,,"el ""albanés""",albania,,
Alps,NP,"defpl ""Alps""","pl ""Alpen""",,,"los ""Alpes""",Alpit,,
Amsterdam,NP,,Amsterdam,,,Ámsterdam,Amsterdam,,
Andorra,NP,,Andorra,Andorra,Andorra,Andorra,Andorra,,
Apennine Mountains,NP,"defpl ""Apennine Mountains""","der ""Apennin""",,,"los ""Montes Apeninos""",Apenniinit,,
Apuseni Mountains,NP,"defpl ""Apuseni Mountains""","das ""Apuseni-Gebirge""",,,"los ""Montes Apuseni""",Apuseni-vuoret,,
Aran islands,NP,"defpl ""Aran Islands""","pl ""Aran-Inseln""",,,"las ""islas de Aran""",Aransaaret,,
Aranjuez,NP,,Aranjuez,,,Aranjuez,Aranjuez,,
Armenia,NP,,Armenien,Armenia,Armenië,Armenia,Armenia,,
Arve river,NP,Arve,"die ""Arve""",,,"el ""río Arve""",Arve-joki,,
Athens,NP,,Athen,,,Atenas,Ateena,,
Atlantic Ocean,NP,"defsg ""Atlantic Ocean""","der ""Atlantische Ozean"" ""Atlantischen Ozean"" ""Atlantischen Ozean"" ""Atlantischen Ozeans""",,,"el ""océano Atlántico""",Atlantin valtameri,,
Austria,NP,,Österreich,Austria,Oostenrijk,Austria,Itävalta,,
Azerbaijan,NP,,Aserbaidschan,Azerbaijan,Azerbeidzjan,Azerbaiyán,Azerbaidžan,,
Azores,NP,"defpl ""Azores""","pl ""Azoren""",,,"las ""Azores""",Azorit,,
Baba Mountain,NP,"defsg ""Baba Mountain""","das ""Baba-Gebirge""",,,"el ""monte Baba""",Baba-vuori,,
Balearic islands,NP,"defpl ""Balearic Islands""","pl ""Balearische Inseln"" ""Balearische Inseln"" ""Balearischen Inseln"" ""Balearischen Inseln""",,,"las ""islas Baleares""",Baleaarit,,
Balkan mountain range,NP,"defpl ""Balkan Mountains""","das ""Balkangebirge""",,,"los ""Balcanes""",Balkan,,
Baltic Sea,NP,"defsg ""Baltic Sea""","das ""Baltische Meer"" ""Baltische Meer"" ""Baltischen Meer"" ""Baltischen Meers""",,,"el ""mar Báltico""",Itämeri,,
Bangor,NP,,Bangor,,,Bangor,Bangor,,
Banja Luka,NP,,Banja Luka,,,Banja Luka,Banja Luka,,
Basel,NP,,Basel,,,Basilea,Basel,,
Belarus,NP,,Weißrussland,Bielorussia,Wit-Rusland,Bielorrusia,Valko-Venäjä,,
Belgium,NP,,Belgien,Belgio,België,Bélgica,Belgia,,
Belgrade,NP,,Belgrad,,,Belgrado,Belgrad,,
[Bergen],NP,,Bergen,,,Bergen,Bergen,,
Berlin,NP,,Berlin,,,Berlín,Berliini,,
Bern,NP,,Bern,Berna,Bern,Berna,Bern,,
Bitola,NP,,Bitola,,,Bitola,Bitola,,
Black Forest,NP,"defsg ""Black Forest""","der ""Schwarzwald""",,,"la ""Selva Negra""",Schwartzwald,,
Black Sea,NP,"defsg ""Black Sea""","das ""Schwarze Meer"" ""Schwarze Meer"" ""Schwarzen Meer"" ""Schwarzen Meers""",,,"el ""mar Negro""",Mustameri,,
Bohemia,NP,,Böhmen,,,Bohemia,Böömi,,
Bornholm,NP,,Bornholm,,,Bornholm,Bornholm,,
Bornholm island,NP,"defsg ""Bornholm Island""","die ""Bornholm-Insel""",,,"la ""isla de Bornholm""",Bornholmin saari,,
Bosnia and Herzegovina,NP,,Bosnien und Herzegowina,Bosnia ed Erzegovina,Bosnië en Herzegovina,Bosnia-Herzegovina,Bosnia ja Hertsegovina,,
Brač island,NP,Brač,Brač,,,"la ""isla de Brac""",Brač-saari,,
Bratislava,NP,,Bratislava,,,Bratislava,Bratislava,,
Bremen,NP,,Bremen,,,Bremen,Bremen,,
Brno,NP,,Brünn,,,Brno,Brno,,
Brussels,NP,,Brüssel,,,Bruselas,Bruselas,,
Bucarest,NP,,Bukarest,,,Bucarest,Bukarest,,
Budapest,NP,,Budapest,,,Budapest,Budapest,,
Bulgaria,NP,,Bulgarien,Bulgaria,Bulgarije,Bulgaria,Bulgaria,,
Bulgarian language,NP,Bulgarian,Bulgarisch,,,"el ""búlgaro""",bulgaria,,
Cam river,NP,Cam,Cam,,,"el ""río Cam""",Cam-joki,,
Cambridge,NP,,Cambridge,,,Cambridge,Cambridge,,
Canary islands,NP,"defpl ""Canary Islands""","pl ""Kanarische Inseln"" ""Kanarische Inseln"" ""Kanarischen Inseln"" ""Kanarischen Inseln""",,,"mkNP las ""islas Canarias"" | mkNP ""Canarias""",Kanariansaaret,,
Cantabria,NP,,Kantabrien,,,Cantabria,Cantabria,,
Cardiff,NP,,Cardiff,,,Cardiff,Cardiff,,
Carpathian Mountains,NP,"defpl ""Carpathian Mountains""","pl ""Karpaten""",,,"mkNP ""Montes Cárpatos"" | mkNP los ""Cárpatos""",Karpaatit,,
Caspian Sea,NP,"defsg ""Caspian Sea""","das ""Kaspische Meer"" ""Kaspische Meer"" ""Kaspischen Meer"" ""Kaspischen Meers""",,,"el ""mar Caspio""",Kaspianmeri,,
Chișinău ,NP,,Kischinau,,,Chisinau,Chișinău ,,
Copenhagen,NP,,Kopenhagen,,,Copenhague,Kööpenhamina,,
Corsica,NP,,Korsika,,,Córcega,Korsika,,
Cotswolds Hills,NP,"defpl ""Cotswolds Hills""","pl ""Cotswolds Hills""",,,Cotswolds Hills,Cotswold Hills,,
Cracovia,NP,,Krakau,,,Cracovia,Krakova,,
Crete,NP,,Kreta,,,Creta,Kreeta,,
Croatia,NP,,Kroatien,Croazia,Kroatië,Croacia,Kroatia,,
Croatian language,NP,Croatian,Kroatisch,,,"el ""croata""",kroatia,,
Cyprus,NP,,Zypern,Cipro,Cyprus,Chipre,Kypros,,
Czech language,NP,Czech,Tschechisch,,,"el ""checo""",Tšekki,,
Czech Republic,NP,"defsg ""Czech Republic""","die ""Tschechische Republik"" ""Tschechische Republik"" ""Tschechischen Republik"" ""Tschechischen Republik""",,,"la ""República Checa""",Tšekin tasavalta,,
Dalmatia,NP,,Dalmatien,,,Dalmacia,Dalmatia,,
Danish language,NP,Danish,Dänisch,,,"el ""danés""",tanska,,
Danube,NP,"defsg ""Danube""","die ""Donau""",,,"el ""Danubio""",Tonava,,
Daugava river,NP,Daugava,"die ""Düna""",,,"el ""río Daugava""",Daugava-joki,,
Daugavpils,NP,,Dünaburg,,,Daugavpils,Daugavpils,,
Debrecen,NP,,Debrezin,,,Debrecen,Debrecen,,
Denmark,NP,,Dänemark,Danimarca,Denemarken,Dinamarca,Tanska,,
Dijon,NP,,Dijon,,,Dijón,Dijón,,
Dinaric Alps,NP,"defpl ""Dinaric Alps""","pl ""Dinarische Alpen"" ""Dinarische Alpen"" ""Dinarischen Alpen"" ""Dinarischen Alpen""",,,"los ""Alpes Dináricos""",Dinaariset alpit,,
Dnieper river,NP,"defsg ""Dnieper River""","der ""Dnepr""",,,"el ""río Dniéper""",Dnepr,,
Dniester,NP,"defsg ""Dniester""","der ""Dnister""",,,"el ""Dniéster""",Dnestr,,
Don,NP,"defsg ""Don River""","der ""Don""",,,"el ""Don""",Don,,
Douro,NP,,"der ""Duero""",,,"el ""Duero""",Douro,,
Drava river,NP,"defsg ""Drava""","die ""Drau""",,,"el ""río Drava""",Drava,,
Dresden,NP,,Dresden,,,Dresde,Dresden,,
Dublin,NP,,Dublin,,,Dublín,Dublin,,
Dubrovnik,NP,,Dubrovnik,,,Dubrovnik,Dubrovnik,,
Duisburg,NP,,Duisburg,,,Duisburgo,Duisburg,,
Dutch language,NP,Dutch,Niederländisch,,,"el ""holandés""",hollanti,,
east,NP,"defsg ""East""","der ""Osten""",,,este,itä,,
Ebro,NP,"defsg ""Ebro""","der ""Ebro""",,,"el ""Ebro""",Ebro,,
Edinburgh,NP,,Edinburgh,,,Edimburgo,Edinburgh,,
El Hierro,NP,,El Hierro,,,El Hierro,El Hierro,,
Elbe,NP,"defsg ""Elbe""","die ""Elbe""",,,"el ""Elba""",Elbe,,
Ely,NP,,Ely,,,Ely,Ely,,
Emajõgi ,NP,,Embach,,,"el ""Emajogi""",Emajoki,,
Ems river,NP,"defsg ""Ems""","die ""Ems""",,,"el ""río Ems""",Ems-joki,,
England,NP,,England,,,Inglaterra,Englanti,,
English language,NP,English,Englisch,,,"el ""inglés""",englanti,,
Estonia,NP,,Estland,Estonia,Estland,Estonia,Viro,,
Estonian language,NP,Estonian,Estnisch,,,"el ""estonio""",viro,,
Etna river,NP,"aceNP ""Etna"" | aceNP defsg ""Etna river"" [just to create some lexical ambiguity]",Etna,,,"el ""río Etna""",,,
Eton,NP,,Eton,,,Eton,,,
European Free Trade Association,NP,"defsg ""EFTA""",EFTA,,,AELC,EFTA,,
European Union,NP,"aceNP defsg ""EU"" | aceNP defsg ""European Union""","die ""Europäische Union"" ""Europäische Union"" ""Europäischen Union"" ""Europäischen Union""",Unione Europea,Europese Unie,"mkNP la ""Unión Europea"" | mkNP la ""UE""",Euroopan unioni,,
Fehmarn island,NP,Fehmarn,Fehmarn Insel,,,"la ""isla de Fehmarn""",Fehmarn-saari,,
Finland,NP,,Finnland,Finlandia,Finland,Finlandia,Suomi,,
Finnish language,NP,Finnish,Finnisch,,,"mkNP el ""finés"" | mkNP el ""finlandés""",suomi,,
Flanders,NP,,Flandern,,,Flandes,Flanderi,,
Formentera,NP,,Formentera,,,Formentera,,,
France,NP,,Frankreich,Francia,Frankrijk,Francia,Ranska,,
French language,NP,French,Französisch,Lingua francese,Franse taal,"el ""francés""",ranska,,
Frisian islands,NP,"defpl ""Frisian Islands""","pl ""Frisische Inseln"" ""Frisische Inseln"" ""Frisischen Inseln"" ""Frisischen Inseln""",,,"las ""islas Frisias""",Friisein saaret,,
Fuerteventura,NP,,Fuerteventura,,,Fuerteventura,Fuerteventura,,
Funen island,NP,Funen,Fünen,,,"la ""isla de Fionia""",Fyn,,
Galdhøpiggen,NP,,Galdhøpiggen,,,"el ""monte Galdhøpiggen""",Galdhøpiggen-vuori,,
Gállego river,NP,"defsg ""Gállego""","der ""Gállego""",,,"el ""río Gállego""",Gállego-joki,,
Gdańsk,NP,,Danzig,,,Gdańsk,Gdańsk,,
Geneve,NP,,Genf,,,Ginebra,Geneve,,
Georgia,NP,,Georgien,Georgia,Georgië,Georgia,Georgia,,
German language,NP,German,Deutsch,Lingua tedesca,Duitse taal,"el ""alemán""",saksa,,
Germany,NP,,Deutschland,Germania,Duitsland,Alemania,Saksa,,
Glasgow,NP,,Glasgow,,,Glasgow,Glasgow,,
Glittertind,NP,,"der ""Glittertind""",,,Glittertind,Glittertind,,
Gomel,NP,,Gomel,,,Gómel,Gomel,,
Gothenburg,NP,,Göteborg,,,Gotemburgo,Göteborg,,
Gotland,NP,,Gotland,,,Gotland,Gotlanti,,
Gran Canaria,NP,,Gran Canaria,,,Gran Canaria,Gran Canaria,,
Greece,NP,,Griechenland,Grecia,Griekenland,Grecia,Kreikka,,
Greek language,NP,Greek,Griechisch,,,"el ""griego""",kreikka,,
Gulf of Bothnia,NP,,"der ""Bottnische Meerbusen"" ""Bottnische Meerbusen"" ""Bottnischen Meerbusen"" ""Bottnischen Meerbusen""",,,"el ""golfo de Botnia""",Pohjanlahti,,
Gulf of Finland,NP,,"der ""Finnische Meerbusen"" ""Finnische Meerbusen"" ""Finnischen Meerbusen"" ""Finnischen Meerbusen""",,,"el ""golfo de Finlandia""",Suomenlahti,,
Győr,NP,,Győr,,,Győr,Győr,,
Halti,NP,,"der ""Haltitunturi""",,,"el ""monte Halti""",Haltitunturi,,
Hamburg,NP,,Hamburg,,,Hamburgo,Hampuri,,
Havel river,NP,"defsg ""Havel""","die ""Havel""",,,"el ""río Havel""",Havel-joki,,
Hebrides,NP,"defpl ""Hebrides""","pl ""Hebriden""",,,"mkNP las ""islas Hébridas"" | mkNP las ""Hébridas""",Hebridit,,
Helsinki,NP,,Helsinki,,,Helsinki,Helsinki,,
Hiiumaa island,NP,Hiiumaa,Hiiumaa,,,"la ""isla de Hiiumaa""",Hiiumaa,,
Hisingen island,NP,Hisingen,Hisingen,,,"la ""isla de Hisingen""",Hisingen,,
Holland,NP,,Holland,,,Holanda,Hollanti,,
Hornindalsvatnet,NP,,Hornindalsvatnet,,,"el ""lago Hornindalsvatnet""",Hornindalsvatnet,,
Hoverla mountain,NP,Hoverla,"der ""Howerla""",,,"el ""monte Goverla""",Hoverla-vuori,,
Hungarian language,NP,Hungarian,Ungarisch,,,"el ""húngaro""",unkari,,
Hungary,NP,,Ungarn,Ungheria,Hongarije,Hungría,Unkari,,
Hvar island,NP,Hvar,Hvar,,,"la ""isla de Hvar""",Hvar,,
Ibiza,NP,,Ibiza,,,Ibiza,Ibiza,,
Iceland,NP,,Island,Islanda,IJsland,Islandia,Islanti,,
Inn,NP,"defsg ""Inn""","der ""Inn""",,,Inn,Inn,,
Innsbruck,NP,,Innsbruck,,,Innsbruck,Innsbruck,,
Ionian Sea,NP,"defsg ""Ionian Sea""","das ""Ionische Meer"" ""Ionische Meer"" ""Ionischen Meer"" ""Ionischen Meers""",,,"el ""mar Jónico""",Joonianmeri,,
Ireland,NP,,Irland,Irlanda,Ierland,Irlanda,Irlanti,,
Irish language,NP,Irish,Irisch,,,"el ""irlandés""",iiri,,
Italian language,NP,Italian,Italienisch,,,"el ""italiano""",Italia,,
Italy,NP,,Italien,Italia,Italië,Italia,Italia,,
Jarama,NP,"defsg ""Jarama""","der ""Jarama""",,,Jarama,Jarama,,
Julian Alps,NP,"defpl ""Julian Alps""","pl ""Julische Alpen"" ""Julische Alpen"" ""Julischen Alpen"" ""Julischen Alpen""",,,"los ""Alpes Julianos""",Juliaaniset Alpit,,
Karsibór,NP,,Kaseburg,,,Karsibór,Karsibór,,
Kaunas,NP,,Kaunas,,,Kaunas,Kaunas,,
Kazakhstan,NP,,Kasachstan,Kazakistan,Kazachstan,Kazajistán,Kazakstan,,
Kebnekaise,NP,,"der ""Kebnekaise""",,,Kebnekaise,Kebnekaise,,
Kherson,NP,,Cherson,,,Jersón,H’erson,,
Kiev,NP,,Kiew,,,Kiev,Kiova,,
Kiruna,NP,,Kiruna,,,Kiruna,Kiiruna,,
Klarälven,NP,,"der ""Klarälven""",,,"el ""río Klara""",Klarjoki,,
Kopaonik,NP,,"der ""Kopaonik""",,,Kopaonik,Kopaonik,,
Kranj,NP,,Kranj,,,Kranj,Kranj,,
Kristianstad,NP,,Kristianstad,,,Kristianstad,Kristianstad,,
La Gomera,NP,,La Gomera,,,La Gomera,La Gomera,,
La Palma,NP,,La Palma,,,La Palma,La Palma,,
Lake Balaton,NP,,"mkNP der ""Balaton"" | mkNP der ""Plattensee""",,,"el ""lago Balatón""",Balaton,,
Lake Bled,NP,,"der ""Bleder See""",,,"el ""lago Bled""",Bled,,
